country;variable;percentile;year;value;age;pop
US-SC;sfiinc992t;p0p100;1937;1.0;992;t
US-SC;sfiinc992t;p0p100;1938;1.0;992;t
US-SC;sfiinc992t;p0p100;1939;1.0;992;t
US-SC;sfiinc992t;p0p100;1940;1.0;992;t
US-SC;sfiinc992t;p0p100;1941;1.0;992;t
US-SC;sfiinc992t;p0p100;1942;1.0;992;t
US-SC;sfiinc992t;p0p100;1943;1.0;992;t
US-SC;sfiinc992t;p0p100;1944;1.0;992;t
US-SC;sfiinc992t;p0p100;1945;1.0;992;t
US-SC;sfiinc992t;p0p100;1946;1.0;992;t
US-SC;sfiinc992t;p0p100;1947;1.0;992;t
US-SC;sfiinc992t;p0p100;1948;1.0;992;t
US-SC;sfiinc992t;p0p100;1949;1.0;992;t
US-SC;sfiinc992t;p0p100;1950;1.0;992;t
US-SC;sfiinc992t;p0p100;1951;1.0;992;t
US-SC;sfiinc992t;p0p100;1952;1.0;992;t
US-SC;sfiinc992t;p0p100;1953;1.0;992;t
US-SC;sfiinc992t;p0p100;1954;1.0;992;t
US-SC;sfiinc992t;p0p100;1955;1.0;992;t
US-SC;sfiinc992t;p0p100;1956;1.0;992;t
US-SC;sfiinc992t;p0p100;1957;1.0;992;t
US-SC;sfiinc992t;p0p100;1958;1.0;992;t
US-SC;sfiinc992t;p0p100;1959;1.0;992;t
US-SC;sfiinc992t;p0p100;1960;1.0;992;t
US-SC;sfiinc992t;p0p100;1961;1.0;992;t
US-SC;sfiinc992t;p0p100;1962;1.0;992;t
US-SC;sfiinc992t;p0p100;1963;1.0;992;t
US-SC;sfiinc992t;p0p100;1964;1.0;992;t
US-SC;sfiinc992t;p0p100;1965;1.0;992;t
US-SC;sfiinc992t;p0p100;1966;1.0;992;t
US-SC;sfiinc992t;p0p100;1967;1.0;992;t
US-SC;sfiinc992t;p0p100;1968;1.0;992;t
US-SC;sfiinc992t;p0p100;1969;1.0;992;t
US-SC;sfiinc992t;p0p100;1970;1.0;992;t
US-SC;sfiinc992t;p0p100;1971;1.0;992;t
US-SC;sfiinc992t;p0p100;1972;1.0;992;t
US-SC;sfiinc992t;p0p100;1973;1.0;992;t
US-SC;sfiinc992t;p0p100;1974;1.0;992;t
US-SC;sfiinc992t;p0p100;1975;1.0;992;t
US-SC;sfiinc992t;p0p100;1976;1.0;992;t
US-SC;sfiinc992t;p0p100;1977;1.0;992;t
US-SC;sfiinc992t;p0p100;1978;1.0;992;t
US-SC;sfiinc992t;p0p100;1979;1.0;992;t
US-SC;sfiinc992t;p0p100;1980;1.0;992;t
US-SC;sfiinc992t;p0p100;1981;1.0;992;t
US-SC;sfiinc992t;p0p100;1982;1.0;992;t
US-SC;sfiinc992t;p0p100;1983;1.0;992;t
US-SC;sfiinc992t;p0p100;1984;1.0;992;t
US-SC;sfiinc992t;p0p100;1985;1.0;992;t
US-SC;sfiinc992t;p0p100;1986;1.0;992;t
US-SC;sfiinc992t;p0p100;1987;1.0;992;t
US-SC;sfiinc992t;p0p100;1988;1.0;992;t
US-SC;sfiinc992t;p0p100;1989;1.0;992;t
US-SC;sfiinc992t;p0p100;1990;1.0;992;t
US-SC;sfiinc992t;p0p100;1991;1.0;992;t
US-SC;sfiinc992t;p0p100;1992;1.0;992;t
US-SC;sfiinc992t;p0p100;1993;1.0;992;t
US-SC;sfiinc992t;p0p100;1994;1.0;992;t
US-SC;sfiinc992t;p0p100;1995;1.0;992;t
US-SC;sfiinc992t;p0p100;1996;1.0;992;t
US-SC;sfiinc992t;p0p100;1997;1.0;992;t
US-SC;sfiinc992t;p0p100;1998;1.0;992;t
US-SC;sfiinc992t;p0p100;1999;1.0;992;t
US-SC;sfiinc992t;p0p100;2000;1.0;992;t
US-SC;sfiinc992t;p0p100;2001;1.0;992;t
US-SC;sfiinc992t;p0p100;2002;1.0;992;t
US-SC;sfiinc992t;p0p100;2003;1.0;992;t
US-SC;sfiinc992t;p0p100;2004;1.0;992;t
US-SC;sfiinc992t;p0p100;2005;1.0;992;t
US-SC;sfiinc992t;p0p100;2006;1.0;992;t
US-SC;sfiinc992t;p0p100;2007;1.0;992;t
US-SC;sfiinc992t;p0p100;2008;1.0;992;t
US-SC;sfiinc992t;p0p100;2009;1.0;992;t
US-SC;sfiinc992t;p0p100;2010;1.0;992;t
US-SC;sfiinc992t;p0p100;2011;1.0;992;t
US-SC;sfiinc992t;p0p100;2012;1.0;992;t
US-SC;sfiinc992t;p0p100;2013;1.0;992;t
US-SC;sfiinc992t;p0p100;2014;1.0;992;t
US-SC;sfiinc992t;p0p100;2015;1.0;992;t
US-SC;sfiinc992t;p0p100;2016;1.0;992;t
US-SC;sfiinc992t;p0p100;2017;1.0;992;t
US-SC;sfiinc992t;p0p100;2018;1.0;992;t
US-SC;sptinc992t;p99.5p100;1917;0.0776;992;t
US-SC;sptinc992t;p99.5p100;1918;0.0735;992;t
US-SC;sptinc992t;p99.5p100;1919;0.0912;992;t
US-SC;sptinc992t;p99.5p100;1920;0.0936;992;t
US-SC;sptinc992t;p99.5p100;1921;0.0917;992;t
US-SC;sptinc992t;p99.5p100;1922;0.0923;992;t
US-SC;sptinc992t;p99.5p100;1923;0.1075;992;t
US-SC;sptinc992t;p99.5p100;1924;0.0896;992;t
US-SC;sptinc992t;p99.5p100;1925;0.0827;992;t
US-SC;sptinc992t;p99.5p100;1926;0.0822;992;t
US-SC;sptinc992t;p99.5p100;1927;0.0909;992;t
